N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
181,한국콜마,"45,100",200,+0.45%,500,"10,319","22,881",25.26,"97,749",46.88,6.39,
182,코스맥스,"102,000","5,500",-5.12%,500,"10,250","10,050",27.06,"464,919",26.59,10.45,
183,SK가스,"109,000","2,000",+1.87%,"5,000","10,061","9,230",8.83,"56,426",2.89,9.85,
184,코오롱인더,"36,900",350,+0.96%,"5,000","9,955","26,979",16.12,"163,739",6.35,1.58,
185,KODEX 단기채권PLUS,"102,770",10,-0.01%,0,"9,537","9,280",0.00,"3,431,090",N/A,N/A,
186,롯데리츠,"5,410",40,+0.74%,500,"9,304","171,969",8.96,"119,145",60.11,1.80,
187,쿠쿠홈시스,"41,300",750,+1.85%,100,"9,267","22,437",4.85,"21,349",12.10,16.10,
188,영풍,"502,000","6,000",+1.21%,"5,000","9,247","1,842",4.59,"1,498",4.14,7.40,
189,제일약품,"61,900","3,100",-4.77%,500,"9,102","14,705",4.22,"2,150,269",-135.45,-5.96,
190,코리안리,"7,530",30,+0.40%,500,"9,064","120,369",27.25,"124,975",5.39,8.04,
191,KBSTAR 200,"31,415",180,+0.58%,0,"9,000","28,650",0.06,"571,043",N/A,N/A,
192,다우기술,"20,050",400,+2.04%,500,"8,996","44,867",22.84,"172,916",4.73,14.62,
193,휴켐스,"21,600","2,750",-11.29%,"1,000","8,830","40,879",8.86,"1,011,368",14.18,10.82,
194,대상,"25,400",950,+3.89%,"1,000","8,801","34,648",17.39,"209,225",6.79,11.17,
195,제이알글로벌리츠,"5,280",10,+0.19%,"1,000","8,744","165,600",0.23,"123,498",N/A,-0.05,
196,후성,"9,410",130,+1.40%,500,"8,714","92,607",4.17,"2,010,294",-627.33,3.85,
197,현대홈쇼핑,"72,000",300,+0.42%,"5,000","8,640","12,000",24.17,"16,324",11.14,5.03,
198,태광산업,"749,000","2,000",-0.27%,"5,000","8,339","1,113",9.06,"1,650",6.40,4.34,
199,KG동부제철,"8,310",240,+2.97%,"5,000","8,311","100,009",0.18,"202,125",8.67,-7.44,
200,오리온홀딩스,"12,950",150,+1.17%,500,"8,113","62,645",6.86,"115,471",11.80,2.55,
